"Área principal";"Tipo";"Subtipo";"Cliente";"Nombre";"Url";"Donde esta hosteado";"Esta activo";"Se le da soporte";"Sabemos que se usa";"Estado soporte cliente";"Ambiente";"Responsable";"Última actualización";"ID WebOps"
"Desarrollo TI";"App";"Web";"A.G. SERVICIOS Y CIA LTDA.";"Portal de Productores";"https://portalproductores.garcesfruit.com";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"eb014fe1-bc7b-415e-a64f-38ea9f1f6b49"
"Desarrollo TI";"App";"Web";"AGROINDUSTRIAL SIRACUSA SA";"Gestion Agricola";"https://gestionriegosiracusa.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Sin soporte";"No utilizado";"Sin soporte";"Desarrollo";"";"29-07-2026";"fcf82b47-6075-4972-99cf-b992a90c7645"
"Desarrollo TI";"App";"Web";"Agroindustrial Valle Frio S.A";"App Registro Inventario";"https://vallefrioinventario.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"21d6c8c6-f1d6-4418-98f7-2fe1ea00c620"
"Desarrollo TI";"App";"Web";"Agroindustrial Valle Frio S.A";"Modelo Matematico Simulacion SKU";"https://simulacionsku.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"6e1ea10d-a41e-4704-bd1b-5d20bf4a6c3e"
"Desarrollo TI";"App";"Web";"Agroindustrial Valle Frio S.A";"Portal Visitas Campos";"https://productores.vallefrio.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"1cfe039f-b1a1-4f88-9d4f-2dedb092860b"
"Diseño TI";"WordPress";"wordpress";"Agroindustrial Valle Frio S.A";"vallefrio.cl";"https://www.vallefrio.cl/web";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"7c948501-802f-48d4-8b6a-96b69431b0b5"
"Diseño TI";"WordPress";"wordpress";"Agroindustrial Valle Frio S.A";"vallefriowines.cl";"https://vallefriowines.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"5dfef822-ef5e-44ec-84b3-605b1fb79dce"
"Diseño TI";"SharePoint";"sharepoint";"Agroindustrial Valle Frio S.A";"Valle Frio Spa (SharePoint)";"https://vallefriocl.sharepoint.com/sites/PortalComex";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"07-07-2026";"4dc4f51e-82e7-4437-9b61-6d9518fca49a"
"Desarrollo TI";"App";"Web";"Agrosilos";"App Camiones";"https://agrosilos.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"21141dc1-4890-4d05-91d3-5268b4c55f84"
"Desarrollo TI";"App";"Web";"Alambres Chile Limitada";"Portal Gestión Cotizaciones";"https://cotizadoralambres.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"b9d35b6c-1c43-41d4-93a9-78cb43837798"
"Diseño TI";"WordPress";"wordpress";"Alambres Chile Limitada";"alambreschile.cl";"https://alambreschile.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Probable";"Parcial";"";"";"29-07-2026";"7fa9dbf7-4333-4bee-9b80-0cb29c710254"
"Diseño TI";"WordPress";"wordpress";"Alpha Tech Tecnologies SpA";"alpha-tech.cl";"https://alpha-tech.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Confirmado";"Sin soporte";"";"";"29-07-2026";"b53b517c-8b09-46fd-9001-45c2251dd495"
"Desarrollo TI";"App";"Web";"Aseos Industriales Total Clean Ltda";"Aseo";"https://appaseo.totalclean.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"34c3afd1-66c1-49bb-86b8-576d517d952f"
"Diseño TI";"WordPress";"wordpress";"Aseos Industriales Total Clean Ltda";"totalclean.cl";"https://totalclean.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"72087bba-2bee-45c2-b934-f34be679fb0a"
"Diseño TI";"WordPress";"wordpress";"Aseos Industriales Total Clean Ltda";"totalgroup.cl";"https://totalgroup.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"75020c00-301c-4508-bc76-95934515c845"
"Diseño TI";"SharePoint";"sharepoint";"Aseos Industriales Total Clean Ltda";"Total Clean SharePoint";"https://totalclean.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"08-07-2026";"2609350e-b7dc-4bf6-81f5-897885a09013"
"Diseño TI";"WordPress";"wordpress";"Asesorías e Inversiones RyS S.A";"restorems.cl";"https://restorems.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"caa18a3b-52a6-40e8-b0a9-49fc825b8b7f"
